appid,developers
238090,Unknown Developer
1127500,IronOak Games
903950,2K Australia
2186680,Gearbox Software
307950,Aspyr (Linux)
519860,Monomi Park
1476970,kChamp Games
71340,PopCap
19680,Frontier Developments
9900,HFM Games
1590320,Bugbear
882100,Owlcat Games
15100,NEXT Studios
1448440,BlackMill Games
3241660,Telltale
1583320,Ubisoft Montreal
42700,Ubisoft Kiev
42710,Ubisoft Shanghai
1367080,Toxic Dog
1549250,Landfall
1948980,Eleon Game Studios
3240220,Lion Shield
1904540,Unknown Developer
2641470,Team Bondi
837470,Rockstar Leeds
475550,香港商河洛互動娛樂股份有限公司
531510,Croteam
304240,Spike Chunsoft Co.
2239150,Unknown Developer
1291340,Abstraction Games
1607250,Ink Stains Games
1237320,Ubisoft Annecy
1241510,Ubisoft Montpellier
2300320,Ubisoft Kiev
784150,Mechanistry
788100,ArtPlay
104900,Offworld
262410,Mundfish
1262560,Eremite Games
1230140,Systemic Reaction™
392160,Supergiant Games
1062520,Firaxis Games
1549970,Atelier 801
412830,Chasing Carrots
1252330,Duhndal
8980,CAPCOM Co.
425580,Unknown Developer
1931770,Ubisoft Paris
1262540,Supergiant Games
859580,Ubisoft Quebec
57300,in collaboration with Ubisoft Annecy
609320,Bucharest
1113560,Kiev
699130,Montreal
1940340,Montpellier
285920,Shanghai
268050,Singapore
16900,Sofia
1432860,Toronto studios
274520,Fireproof Games
283640,YUZUSOFT
2334730,Red Dot Games
756800,Ubisoft San Francisco
2000950,Obb Studio Inc.
1388770,Sad Panda Studios
2448970,Ubisoft Montreal
1127400,Forward Development
1102190,Unknown Developer
42910,ATLUS
955900,Ronimo Games
544920,Team Meat
1335200,Nikita Kryukov
1449690,Moon Studios GmbH
1040200,Owlcat Games
527430,Bloober Team SA
1677280,Creaky Corpse Ltd
567640,Big Corporation
813230,CD PROJEKT RED
622650,（Hong Kong）GKD
24010,flanne
2679460,South East Games
962730,KOEI TECMO GAMES CO.
303210,LTD.
736260,Bay 12 Games
1044720,M7 Productions
410900,Attrito
341940,Bandai Namco Studios Inc.
312990,SUPERHOT Team
418530,Lucas Pope
249130,HL-Galgame
736220,Mastfire Studios Pty Ltd
220440,Shiro Games
2221490,Fusion Creators Studio
204450,KOJIMA PRODUCTIONS
434650,MY.GAMES HOLDINGS LTD
1659420,Novalink
1343370,Kunos Simulazioni
2322010,Ivy Sly
601430,BioWare
1401590,Sokpop Collective
492720,Singularity 6 Corporation
690830,Toukana Interactive
221640,First Watch Games
682990,Intercept Games
297000,Jagex Ltd
1985810,Two Point Studios
736590,Stumpy🐙Squid
2012840,Fury Studios
979690,Coatsink
269950,Team Salvato
1161580,Wrong Organ
1280770,Humble North
918570,NetEase Games
2707900,Landon Podbielski
429050,MOBITECH LLC
447820,Team17
1466640,Mouldy Toof Studios
437220,Valve
47870,Pillow Castle
707010,PiBoSo
2001120,The Swordman Studio
424280,Spike Chunsoft Co.
2141910,Unknown Developer
235600,Abstraction Games
2290180,CREATIVE ASSEMBLY
673950,Phobia Game Studio
1421250,91Act
2198150,Unknown Developer
943700,Telltale Games
